,parent_issue,privacy_issue,classification
233,Advertising,Extra data may be collected about you through promotions,bad
234,Advertising,Sensitive data is collected and shared to target advertising,blocker
235,Advertising,The service does not use any thirdparty advertising services,good
236,Transparency,Features of the website are made available under a free software license,good
237,Transparency,You cannot distribute or disclose your account to third parties,neutral
238,Transparency,This service informs you that its Terms of Service does not apply to third party websites,neutral
239,Transparency,Information is provided about how your personal data is used,good
240,Transparency,You are informed about the risk of publishing personal info online,good
241,Transparency,Separate policies are employed for different parts of the service,neutral
242,Transparency,You must create an account to use this service,neutral
243,Transparency,Archives of their agreements are provided so that changes can be viewed over time,good
244,Transparency,The service informs you that its privacy policy does not apply to third party websites,neutral
245,Transparency,Information is provided about how they collect personal data,good
246,Transparency,This Service provides a list of Third Parties involved in its operation,good
247,Transparency,A free help desk is provided,good
248,Transparency,The service is opensource,good
249,Transparency,The policy refers to documents that are missing or unfindable,blocker
250,Transparency,The terms for this service are easy to read,good
251,Transparency,The terms for this service are translated into different languages,neutral
252,Transparency,This service is a subsidiary of Company X,neutral
253,Transparency,An audio version of the Terms of Service is provided,good
254,Transparency,Information is provided about what kind of information they collect,good
255,Dispute Resolution,You arent forced into binding arbitration in case of disputes,good
256,Dispute Resolution,You are forced into binding arbitration in case of disputes,bad
257,Dispute Resolution,You waive your right to a class action,bad
